Czynność,Gdzie,Polecenie
,,
Jaki jest główny język programowania z którym pracujesz?,Uczestnik,
Ile masz lat doświadczenia w programowaniu?,Uczestnik,
Ile masz lat doświadczenia w administracji systemami Unixowymi?,Uczestnik,
Z jakiego systemu operacyjnego korzystasz podczas szkolenia (nazwa + wersja),Uczestnik,
SSH - Konfiguracja,-,
"1. Zainstaluj klient SSH  (np. w instalatorze GIT na windows, PuTTY, lub za pomocą apt-get albo brew)
2. Na windows najłatwiej jest zainstalować GIT, który ma wbudowanego konsolowego klienta SSH, oraz auto-updater)
3. Jeżeli korzystasz z PuTTY konieczne będzie przekonwertowanie klucza .pem do .ppk:
- Program `putty-gen` pozwala na konwersję klucza
- https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/putty.html#putty-private-key",TwójKomputer,
Pobierz klucz .pem podany przez prowadzącego i zapisz go na pulpicie jako `szkolenie.pem`,TwójKomputer,
Uruchom Terminal (np. Git Bash),TwójKomputer,
Sprawdź wersję SSH i wpisz w komórkę w arkuszu kalkulacyjnym,TwójKomputer,ssh -V
"Zmień uprawnienia do pliku klucza:
- Polecenie trzeba wykonać tylko dla Linux albo macOS
- Jeżeli korzystasz z Windows, to nie jest konieczne",TwójKomputer,chmod 400 ~/Desktop/szkolenie.pem
Połącz się do przydzielonego serwera,TwójKomputer,ssh -i ~/Desktop/szkolenie.pem -l ubuntu $PRZYDZIELONE_IP
Sprawdź czy jesteś zalogowany na użytkownika ubuntu,PrzydzielonyHost,whoami
System Operacyjny - konfiguracja,-,clear
"Ustaw zmienną środowiskową PRZYDZIELONE_IP na wartość przydzielonego Tobie IP serwera:
- Zamiast 0.0.0.0 wpisz przydzielony adres
- Przekieruj wyjście do pliku `~/.profile`
- Dzięki temu zmienna będzie ustawiana przy każdym logowaniu",PrzydzielonyHost,"echo ""export PRZYDZIELONE_IP=0.0.0.0"" >> ~/.profile"
